index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
69,J030438.090+061532.628,1.920000,58427.192639,-8.9956,-9.3331,-9.5916,-9.7609,-9.8883,-9.9769,-10.0567,-10.1334,-10.2022,-10.2540,-10.2977,-10.3270,0.0555,0.0505,0.0477,0.0474,0.0480,0.0497,0.0512,0.0524,0.0537,0.0553,0.0572,0.0596
56,J030440.328+055547.624,1.920000,58427.192639,-7.7112,-7.9585,-8.2172,-8.4769,-8.6568,-8.7773,-8.8179,-8.8324,-8.8103,-8.7835,-8.7473,-8.6246,0.1771,0.1762,0.1660,0.1526,0.1478,0.1489,0.1590,0.1726,0.1919,0.2131,0.2370,0.2845
13,J030440.721+060159.269,1.920000,58427.192639,-10.3431,-10.6704,-10.8967,-11.0484,-11.1563,-11.2304,-11.2796,-11.3088,-11.3339,-11.3529,-11.3604,-11.3680,0.0169,0.0156,0.0150,0.0151,0.0154,0.0161,0.0170,0.0181,0.0192,0.0204,0.0217,0.0231
12,J030442.473+060830.575,1.920000,58427.192639,-8.8376,-9.1148,-9.2959,-9.4238,-9.4888,-9.4791,-9.4346,-9.3925,-9.3467,-9.2851,-9.2054,-9.1099,0.0639,0.0614,0.0623,0.0644,0.0691,0.0782,0.0904,0.1032,0.1174,0.1343,0.1557,0.1820
2,J030445.721+060337.304,1.920000,58427.192639,-10.0982,-10.4350,-10.6496,-10.8140,-10.9162,-10.9882,-11.0409,-11.0751,-11.0940,-11.1121,-11.1278,-11.1442,0.0209,0.0191,0.0186,0.0185,0.0191,0.0200,0.0210,0.0223,0.0239,0.0254,0.0269,0.0283
38,J030445.785+061233.129,1.920000,58427.192639,-10.4537,-10.7882,-11.0074,-11.1585,-11.2724,-11.3467,-11.4011,-11.4398,-11.4682,-11.4861,-11.4956,-11.4956,0.0155,0.0140,0.0136,0.0136,0.0140,0.0145,0.0153,0.0161,0.0171,0.0181,0.0193,0.0206
78,J030445.949+055408.871,1.920000,58427.192639,-8.1856,-8.5292,-8.7020,-8.8255,-8.9185,-8.9836,-8.9748,-8.9846,-9.0334,-9.0993,-9.1505,-9.1363,0.1151,0.1047,0.1068,0.1111,0.1164,0.1231,0.1377,0.1500,0.1564,0.1594,0.1636,0.1777
71,J030446.145+061602.451,1.920000,58427.192639,-8.9252,-9.2525,-9.5215,-9.7007,-9.8434,-9.9559,-10.0474,-10.1238,-10.1915,-10.2321,-10.2760,-10.3253,0.0590,0.0541,0.0508,0.0500,0.0501,0.0506,0.0517,0.0529,0.0542,0.0564,0.0584,0.0596
45,J030446.559+055611.032,1.920000,58427.192639,-12.2340,-12.5653,-12.7958,-12.9513,-13.0608,-13.1379,-13.1910,-13.2283,-13.2541,-13.2709,-13.2832,-13.2915,0.0040,0.0035,0.0033,0.0032,0.0032,0.0033,0.0034,0.0035,0.0037,0.0038,0.0040,0.0042
46,J030446.612+055610.240,1.920000,58427.192639,-12.2340,-12.5653,-12.7958,-12.9513,-13.0608,-13.1379,-13.1910,-13.2283,-13.2541,-13.2709,-13.2832,-13.2915,0.0040,0.0035,0.0033,0.0032,0.0032,0.0033,0.0034,0.0035,0.0037,0.0038,0.0040,0.0042
0,J030446.703+060445.095,1.920000,58427.192639,-10.5492,-10.8950,-11.1058,-11.2598,-11.3606,-11.4392,-11.4881,-11.5192,-11.5355,-11.5426,-11.5444,-11.5437,0.0142,0.0129,0.0125,0.0125,0.0129,0.0134,0.0141,0.0150,0.0160,0.0172,0.0184,0.0197
6,J030449.389+060153.124,1.920000,58427.192639,-10.1558,-10.4829,-10.6942,-10.8447,-10.9491,-11.0228,-11.0747,-11.1121,-11.1395,-11.1582,-11.1696,-11.1861,0.0200,0.0183,0.0179,0.0180,0.0186,0.0194,0.0204,0.0216,0.0229,0.0243,0.0258,0.0272
41,J030449.770+061331.816,1.920000,58427.192639,-9.9059,-10.2173,-10.4271,-10.5628,-10.6517,-10.7176,-10.7689,-10.7930,-10.8072,-10.8148,-10.8016,-10.7825,0.0247,0.0230,0.0226,0.0231,0.0242,0.0254,0.0269,0.0288,0.0309,0.0332,0.0361,0.0393
35,J030449.833+055833.925,1.920000,58427.192639,-7.9141,-8.0847,-8.1890,-8.3117,-8.3279,-8.1951,-8.0647,-8.0424,-8.0443,-8.1221,-8.2757,-8.4675,0.1465,0.1572,0.1699,0.1778,0.1997,0.2539,0.3175,0.3569,0.3880,0.3916,0.3655,0.3289
94,J030454.357+055314.151,1.920000,58427.192639,-8.1116,-8.5033,-8.7996,-8.9574,-9.0900,-9.2091,-9.3462,-9.4329,-9.4819,-9.5190,-9.5555,-9.5627,0.1229,0.1064,0.0977,0.0981,0.0995,0.0999,0.0981,0.0994,0.1037,0.1084,0.1129,0.1200
